year,avg_daily_price,avg_daily_range,avg_high_price_hours,avg_total_steps,avg_total_steps_from_sides,avg_quarter_row_share,avg_stress_score_core,avg_stress_score_extended,n_days
2018,57.44835527099464,17.41758904109589,0,1244.2679174111574,1244.2679174111574,0,0.11986393029829026,0.10647067592393279,365
2019,47.86860680960889,16.340027397260275,0,1267.3507345642247,1267.3507345642247,0,0.10239843897734749,0.09147012504960979,365
2020,33.95062472702005,16.32172602739726,0,1379.7854675402025,1379.7854675402025,0,0.08055011777036584,0.07385120406297409,365
2021,112.0012056283502,48.79728767123288,3.315068493150685,1452.3607901528687,1452.3607901528687,0,0.30007243240513565,0.27035543031296616,365
2022,167.89992381377803,92.7426301369863,6.457534246575342,1577.9195801072067,1577.9195801072067,0,0.5090359725197473,0.458149135326859,365
2023,88.27979365742952,69.94384615384615,0.016483516483516484,1677.2700270743749,1677.2700270743749,0,0.288098342295258,0.2594463974001403,364
2024,63.440509176764074,69.5920218579235,0,1747.9543983131384,1747.9543983131384,0,0.2483706647015954,0.22561170609291042,366
2025,64.91560616041842,81.23146005509642,0.04132231404958678,3517.917325428195,3517.917325428195,0.24793388429752067,0.2770825739186323,0.2743710854985129,363
2026,36.763952205882354,19.021470588235296,0,8163.9037990196075,8163.9037990196075,1,0.09285698327094945,0.1742924563468735,68
