year,month,month_label,avg_daily_price,avg_daily_range,avg_total_steps,avg_quarter_row_share,avg_stress_score_core,avg_stress_score_extended,n_days
2018,1,Jan,51.63495967741935,22.218709677419355,1197.65188172043,0,0.12170374371341396,0.10761669667777568,31
2018,2,Feb,54.982619047619046,19.252142857142857,1223.376488095238,0,0.12017681744783709,0.10644624824323454,28
2018,3,Mar,39.75312120149603,25.51451612903226,1176.943489948574,0,0.1106138285120156,0.09753269330544517,31
2018,4,Apr,42.66330555555555,20.842333333333332,1190.8166666666666,0,0.10450875602350602,0.09236226693495443,30
2018,5,May,55.080981182795696,12.411935483870968,1255.6975806451612,0,0.10477175583569466,0.0933882075353492,31
2018,6,Jun,58.48184722222222,9.133,1280.1861111111111,0,0.10257552768256346,0.09179254494095557,30
2018,7,Jul,61.84334677419355,10.035806451612903,1298.220430107527,0,0.10996235478220157,0.09849691983251281,31
2018,8,Aug,64.2915994623656,13.640322580645162,1255.975806451613,0,0.12195047279733545,0.10842222234988601,31
2018,9,Sep,71.29704166666667,13.978333333333333,1266.0097222222223,0,0.1336955576539696,0.11883320394872772,30
2018,10,Oct,65.38432795698925,22.564193548387095,1250.5551075268818,0,0.14402985056692058,0.12767128124556926,31
2018,11,Nov,62.013666666666666,22.182000000000002,1285.6361111111112,0,0.1378775952564059,0.1227546547891733,30
2018,12,Dec,61.86522849462366,17.301290322580645,1249.5940860215053,0,0.1265054315938104,0.11232429011831899,31
2019,1,Jan,62.68998655913978,18.876774193548385,1273.391129032258,0,0.13139322287112512,0.1169264933863021,31
2019,2,Feb,54.71419642857143,18.421071428571427,1269.766369047619,0,0.11785952664950718,0.10502685784694751,28
2019,3,Mar,49.20399953249182,15.30483870967742,1253.0906381486675,0,0.1021600514228421,0.09106706376959596,31
2019,4,Apr,50.654833333333336,16.556,1249.8666666666666,0,0.10724396647639173,0.09547242385453197,30
2019,5,May,48.745497311827954,16.697741935483872,1278.2674731182797,0,0.1045766125922802,0.09351786520403683,31
2019,6,Jun,47.21011111111111,12.117666666666667,1309.0402777777776,0,0.09173040148623843,0.08268849147150785,30
2019,7,Jul,51.463293010752686,11.765161290322581,1318.4475806451612,0,0.09757584716915868,0.08792891854175194,31
2019,8,Aug,44.96194892473118,10.310645161290322,1253.9663978494623,0,0.08407211072800409,0.07525181399881145,31
2019,9,Sep,42.14127777777778,14.347666666666667,1255.8430555555556,0,0.08895387963598879,0.07954843005646724,30
2019,10,Oct,47.196559139784945,17.70741935483871,1262.2970430107528,0,0.10445476117834344,0.09319791332176057,31
2019,11,Nov,42.12763888888889,22.031,1263.6458333333333,0,0.10638265695533762,0.09490439945447961,30
2019,12,Dec,33.67510752688172,22.135806451612904,1221.1102150537633,0,0.09338146964879276,0.08299481172236836,31
2020,1,Jan,40.73775,19.061,1293.8305555555555,0,0.0974268027950624,0.08747516565360237,30
2020,2,Feb,36.03807471264368,16.259655172413794,1331.0905172413793,0,0.08367129748893393,0.07593132103964653,29
2020,3,Mar,27.84598468910706,14.481612903225807,1322.9767414679757,0,0.06678069625179713,0.061043661704455854,31
2020,4,Apr,17.76972222222222,12.272333333333334,1298.4263888888888,0,0.04595440090332579,0.0424927113715793,30
2020,5,May,21.36380376344086,9.925161290322581,1342.9354838709678,0,0.046309820357698116,0.04339825279056858,31
2020,6,Jun,30.642125,11.221333333333334,1393.213888888889,0,0.06371948296406794,0.05930332300992104,30
2020,7,Jul,34.63189516129032,12.551612903225807,1435.111559139785,0,0.07300543056304808,0.06798819332543424,31
2020,8,Aug,36.11478494623656,14.469032258064516,1399.157258064516,0,0.07970457405734298,0.07336966882879037,31
2020,9,Sep,41.93020833333333,19.356666666666666,1441.5819444444444,0,0.09996954326199263,0.09166822289407685,30
2020,10,Oct,36.453575268817204,21.774193548387096,1416.3279569892472,0,0.09690843796327668,0.08865241474897921,31
2020,11,Nov,42.091902777777776,18.668333333333333,1468.4055555555556,0,0.09865178853001409,0.09087349543598928,30
2020,12,Dec,42.032620967741934,25.78258064516129,1411.114247311828,0,0.1147963571091133,0.10423469963018231,31
2021,1,Jan,60.693172043010755,39.979032258064514,1376.4543010752689,0,0.17654355038452008,0.1578005085939608,31
2021,2,Feb,28.19205357142857,37.37714285714286,1386.8988095238096,0,0.11957913853116717,0.10809616524001048,28
2021,3,Mar,45.380673796166434,29.861290322580647,1449.1955937353903,0,0.12935005949242104,0.11747787719361474,31
2021,4,Apr,64.93427777777778,27.094666666666665,1438.763888888889,0,0.15366514363468214,0.13861422982998564,30
2021,5,May,67.12381720430108,34.97258064516129,1447.880376344086,0,0.1750753381211925,0.15746992741131313,31
2021,6,Jun,83.28838888888889,25.594666666666665,1479.5958333333333,0,0.17899221144276423,0.16132084443723177,30
2021,7,Jul,92.59524193548387,27.226451612903226,1507.0013440860216,0,0.19729520862786215,0.17770204788154353,31
2021,8,Aug,105.9855376344086,31.00741935483871,1450.3131720430108,0,0.22689993587551846,0.20284894756216199,31
2021,9,Sep,156.52898611111112,45.45,1448.2194444444444,0,0.3423701092372529,0.30427404805264463,30
2021,10,Oct,200.03495967741935,93.24354838709678,1436.154569892473,0,0.617563857399724,0.55752838368125,31
2021,11,Nov,193.501,82.098,1528.3416666666667,0,0.5616959752481171,0.5072197256641233,30
2021,12,Dec,239.2666935483871,110.07516129032258,1475.9327956989248,0,0.7055468488767407,0.6391779205146333,31
2022,1,Jan,201.89459677419356,87.92516129032258,1544.6989247311828,0,0.6191423636238673,0.5617707948956813,31
2022,2,Feb,200.7195238095238,94.84785714285714,1538.0208333333333,0,0.6109643431762938,0.5514980277446336,28
2022,3,Mar,283.206482000935,116.29548387096774,1527.1324216923797,0,0.7951762513518472,0.7229918698001453,31
2022,4,Apr,192.01005555555557,128.98866666666666,1555.8347222222221,0,0.6647721837917655,0.5997231029090017,30
2022,5,May,187.15086021505377,84.73516129032258,1589.842741935484,0,0.5393665804755677,0.48638721691372516,31
2022,6,Jun,169.8246388888889,75.58800000000001,1634.1680555555556,0,0.46840766115289917,0.4217977390429999,30
2022,7,Jul,143.80469086021506,54.971612903225804,1676.5604838709678,0,0.3413745045110615,0.306103595281591,31
2022,8,Aug,157.2660887096774,82.5974193548387,1618.4193548387098,0,0.4455452026445162,0.39899647227915563,31
2022,9,Sep,141.25027777777777,127.81166666666667,1581.0055555555555,0,0.5180670516209614,0.4617965091679571,30
2022,10,Oct,127.20333333333333,107.22935483870968,1568.9368279569892,0,0.44646953655555305,0.3981026136306797,31
2022,11,Nov,115.378625,80.65333333333334,1567.4277777777777,0,0.3552023760841335,0.31671271372829685,30
2022,12,Dec,96.55193548387096,72.82870967741935,1529.989247311828,0,0.3128497602336754,0.2798922008121231,31
2023,1,Jan,69.34755376344086,92.12322580645161,1565.4516129032259,0,0.31034238157172844,0.27756710958740083,31
2023,2,Feb,134.23049107142856,59.98285714285715,1713.017857142857,0,0.33727702018540556,0.3029380872531466,28
2023,3,Mar,89.96323574100047,84.66709677419355,1693.514726507714,0,0.32427382001417854,0.29129976564019355,31
2023,4,Apr,76.95929166666667,92.02866666666667,1673.3055555555557,0,0.3207058173939715,0.2879078106469135,30
2023,5,May,75.79120833333333,74.75266666666667,1694.3027777777777,0,0.2794456516483655,0.2520856450541858,30
2023,6,Jun,95.58669444444445,50.67633333333333,1775.6861111111111,0,0.25550273202645524,0.23222270329375655,30
2023,7,Jul,93.79987903225806,57.101290322580645,1760.8333333333333,0,0.26736799649691034,0.24240640733244267,31
2023,8,Aug,97.85916666666667,61.486451612903224,1708.760752688172,0,0.28373524622401325,0.2560321689315847,31
2023,9,Sep,104.14769444444444,71.02866666666667,1711.1361111111112,0,0.3153648368858744,0.28373979063338733,30
2023,10,Oct,89.82923387096774,75.02354838709677,1645.1021505376343,0,0.30148004996353583,0.270742127172345,31
2023,11,Nov,63.25809722222222,62.43333333333334,1619.6666666666667,0,0.23169584188455108,0.20930757752747067,30
2023,12,Dec,72.20420698924731,57.096774193548384,1572.752688172043,0,0.23352933266853737,0.21028520830027667,31
2024,1,Jan,74.07954301075269,58.96612903225807,1622.659946236559,0,0.24073351863634346,0.2172555287056851,31
2024,2,Feb,39.85610632183908,48.62034482758621,1641.478448275862,0,0.16351147637659397,0.1499376179703472,29
2024,3,Mar,19.259022323515662,53.26032258064516,1626.841982234689,0,0.1420767544313324,0.13098672337242037,31
2024,4,Apr,13.226180555555556,39.993,1572.8208333333332,0,0.10247190732648315,0.09561087140430616,30
2024,5,May,30.736102150537633,64.41129032258064,1753.4408602150538,0,0.18526649350768737,0.17046884407489737,31
2024,6,Jun,58.110486111111115,78.85333333333334,1827.6805555555557,0,0.2611091229311599,0.23782283350950914,30
2024,7,Jul,74.11614247311827,79.2858064516129,1883.8293010752689,0,0.2871681157019801,0.2613744832230614,31
2024,8,Aug,91.11245967741935,83.37741935483871,1840.8293010752689,0,0.32313047551038226,0.29226715704485523,31
2024,9,Sep,73.62676388888889,96.95266666666667,1827.0736111111112,0,0.32672405668467963,0.29522779302214597,30
