date,year,month,avg_price_spain_eur_mwh,min_price_spain_eur_mwh,max_price_spain_eur_mwh,daily_price_range,avg_total_matched_volume,avg_buy_sell_volume_gap,avg_total_steps,avg_total_steps_from_sides,avg_quarter_row_share,n_high_price_hours,n_low_price_hours,z_avg_price,z_daily_range,z_high_price_hours,z_steps,score_core,score_extended,score_base,score_no_steps,score_price_range_only,score_price_only,score_range_only,internal_stress_event
2022-04-24,2022,4,146.94666666666666,102,257.04,155.04000000000002,43434.2,0,1490.3333333333333,1490.3333333333333,0,4,0,0.5695748441247961,0.8658073498406611,0.16666666666666666,0.04846090203321619,0.6074862109195162,0.5405631914245649,0.5405631914245649,0.6074862109195162,0.7176910969827286,0.5695748441247961,0.8658073498406611,TRUE
2022-06-19,2022,6,122.61166666666666,50,250,200,50678.275,0,1492.5,1492.5,0,3,0,0.47427646109216376,1,0.125,0.04875032386024157,0.6147105844368655,0.5458717937682814,0.5458717937682814,0.6147105844368655,0.7371382305460819,0.47427646109216376,1,TRUE
2022-08-19,2022,8,135.35,90,230.18,140.18,34490.325,-10662.425,1535.4166666666667,1535.4166666666667,0,1,0,0.5241610951253401,0.7810168582441063,0.041666666666666664,0.05448310235709036,0.5304045146811118,0.4705939272483486,0.4705939272483486,0.5304045146811118,0.6525889766847233,0.5241610951253401,0.7810168582441063,TRUE
2022-09-03,2022,9,119.22375,23.77,206.8,183.03,49804.36666666667,0,1564.5,1564.5,0,2,0,0.46100902816910483,1,0.08333333333333333,0.05836803380446943,0.6010702779343087,0.5338566299063003,0.5338566299063003,0.6010702779343087,0.7305045140845524,0.46100902816910483,1,TRUE
2022-09-07,2022,9,106.56291666666667,48.42,189.15,140.73000000000002,55585.691666666666,0,1642.3333333333333,1642.3333333333333,0,0,0,0.41142789217106424,0.7841551335050825,0,0.06876495635991944,0.47823321027045873,0.4253305546226433,0.4253305546226433,0.47823321027045873,0.5977915128380733,0.41142789217106424,0.7841551335050825,TRUE
2022-09-14,2022,9,133.61333333333334,94.25,240,145.75,53966.23333333333,1.5158245029548803e-13,1582.0833333333333,1582.0833333333333,0,3,0,0.5173601284025129,0.8127990277052644,0.125,0.06071680324686766,0.5570636624431109,0.49662738496240877,0.49662738496240877,0.5570636624431109,0.6650795780538886,0.5173601284025129,0.8127990277052644,TRUE
2022-09-17,2022,9,64.2875,10,167.5,157.5,47423.066666666666,1.5158245029548803e-13,1476.125,1476.125,0,0,0,0.2458729774242334,0.8798439991897541,0,0.04656296274445364,0.450286790645595,0.398657238089341,0.398657238089341,0.450286790645595,0.5628584883069937,0.2458729774242334,0.8798439991897541,TRUE
2022-09-18,2022,9,131.60791666666665,61.01,202.28,141.27,41109.975,0,1439.8333333333333,1439.8333333333333,0,0,0,0.5095067088159081,0.7872363492158589,0,0.04171514714177859,0.5186972232127068,0.4580315850252963,0.4580315850252963,0.5186972232127068,0.6483715290158836,0.5095067088159081,0.7872363492158589,TRUE
2022-09-25,2022,9,75.45041666666667,1.44,156.82,155.38,39966.61666666667,0,1410.2916666666667,1410.2916666666667,0,0,2,0.28958811645284877,0.8677473745474462,0,0.03776899184637494,0.462934196400118,0.4088443210347407,0.4088443210347407,0.462934196400118,0.5786677455001474,0.28958811645284877,0.8677473745474462,TRUE
2022-09-26,2022,9,119.27416666666667,75.64,218.6,142.95999999999998,46901.49166666667,-1.5158245029548803e-13,1533.9166666666667,1533.9166666666667,0,2,0,0.4612064650629298,0.7968794131995854,0.08333333333333333,0.054282733399918945,0.5199010179716729,0.4624249973985389,0.4624249973985389,0.5199010179716729,0.6290429391312576,0.4612064650629298,0.7968794131995854,TRUE
