group,n_days,avg_price_mean,daily_range_mean,high_price_hours_mean,score_mean
Composite-only vs price,28,172.0909375,161.72357142857143,8,0.5970245248334185
Price-only vs composite,28,207.40444940476192,70.47035714285714,11.821428571428571,0.5203956675437904
Composite-only vs range,113,239.5026078940618,86.33672566371682,19.106194690265486,0.6432157938392423
Range-only vs composite,113,87.14982669616519,154.34115044247787,0.4778761061946903,0.42656342393306634
