file_name,n_cols,colnames
curva_pbc_20180110.1,NA,NA
curva_pbc_20180112.1,NA,NA
curva_pbc_20180113.1,NA,NA
curva_pbc_20180114.1,NA,NA
curva_pbc_20180115.1,NA,NA
curva_pbc_20180117.1,NA,NA
curva_pbc_20180118.1,NA,NA
curva_pbc_20180119.1,NA,NA
curva_pbc_20180122.1,NA,NA
curva_pbc_20180123.1,NA,NA
curva_pbc_20180101.1,NA,NA
curva_pbc_20180102.1,NA,NA
curva_pbc_20180103.1,NA,NA
curva_pbc_20180104.1,NA,NA
curva_pbc_20180105.1,NA,NA
curva_pbc_20180106.1,NA,NA
curva_pbc_20180107.1,NA,NA
curva_pbc_20180108.1,NA,NA
curva_pbc_20180109.1,NA,NA
curva_pbc_20180111.1,NA,NA
