date,year,month,avg_price_spain_eur_mwh,min_price_spain_eur_mwh,max_price_spain_eur_mwh,daily_price_range,avg_total_matched_volume,avg_buy_sell_volume_gap,avg_total_steps,avg_total_steps_from_sides,avg_quarter_row_share,n_high_price_hours,n_low_price_hours,z_avg_price,z_daily_range,z_high_price_hours,z_steps,score_core,score_extended,score_base,score_no_steps,score_price_range_only,score_price_only,score_range_only,internal_stress_event
2021-10-02,2021,10,173.64916666666667,54.13,234.37,180.24,46396.59166666667,-1.5158245029548803e-13,1409.4583333333333,1409.4583333333333,0,13,0,0.6741446026178664,1,0.5416666666666666,0.037657675759057464,0.7779911743804799,0.6980497118254922,0.6980497118254922,0.7779911743804799,0.8370723013089332,0.6741446026178664,1,TRUE
2021-10-11,2021,10,184.47916666666666,125.01,241.27,116.26,45446.85833333334,-1.5158245029548803e-13,1421.9583333333333,1421.9583333333333,0,9,0,0.7165560054632909,0.6445304141667451,0.375,0.039327417068819245,0.6194345678520143,0.5553129885773945,0.5553129885773945,0.6194345678520143,0.6805432098150179,0.7165560054632909,0.6445304141667451,FALSE
2021-10-20,2021,10,201.39958333333334,144.98,261.53,116.54999999999998,50904.28333333333,-1.5158245029548803e-13,1473.0416666666667,1473.0416666666667,0,9,0,0.7828181114247348,0.6461851411225322,0.375,0.04615109322137907,0.6466013010189069,0.5797662477136812,0.5797662477136812,0.6466013010189069,0.71450162627363345,0.7828181114247348,0.6461851411225322,FALSE
2021-12-29,2021,12,181.08833333333334,90.82,255,164.18,47086.89166666667,1.5158245029548803e-13,1502.3333333333333,1502.3333333333333,0,12,0,0.7032771505711678,0.9179597787230641,0.5,0.050063853690587495,0.7484947717176927,0.6724393106220399,0.6724393106220399,0.7484947717176927,0.810618464647116,0.7032771505711678,0.9179597787230641,TRUE
2022-01-05,2022,1,180.98791666666668,79.11,250.34,171.23000000000002,52854.21666666667,0,1524,1524,0,11,0,0.7028839084933844,0.958186761613758,0.4583333333333333,0.052958071960841256,0.7560949347095237,0.6783372084002507,0.6783372084002507,0.7560949347095237,0.8305353350535712,0.7028839084933844,0.958186761613758,TRUE
2022-01-09,2022,1,119.82541666666667,14,240,226,52048.933333333334,-1.5158245029548803e-13,1449.7083333333333,1449.7083333333333,0,6,0,0.4633652172160729,1,0.25,0.0430342427764904,0.6353460868864292,0.5664812503032746,0.5664812503032746,0.6353460868864292,0.7316826086080365,0.4633652172160729,1,TRUE
2022-02-13,2022,2,165.38708333333332,70,220,150,43537.725,0,1456.2916666666667,1456.2916666666667,0,5,0,0.6417894276785802,0.8370493365400798,0.20833333333333334,0.04391363986629829,0.6332021723541307,0.5636515981298275,0.5636515981298275,0.6332021723541307,0.73941938210933,0.6417894276785802,0.8370493365400798,TRUE
2022-02-14,2022,2,183.32375,105,248.71,143.71,52867.40833333333,-1.5158245029548803e-13,1522,1522,0,9,0,0.7120312740039818,0.801158879464553,0.375,0.05269091335127937,0.6802760613874139,0.6098856450491151,0.6098856450491151,0.6802760613874139,0.7565950767342674,0.7120312740039818,0.801158879464553,TRUE
2022-02-17,2022,2,168.34166666666667,100,268.12,168.12,51415.183333333334,-1.5158245029548803e-13,1583.5,1583.5,0,5,0,0.653359882340665,0.940441241501693,0.20833333333333334,0.06090604059530733,0.6791871162036098,0.6055876640710226,0.6055876640710226,0.6791871162036098,0.796900561921179,0.653359882340665,0.940441241501693,TRUE
2022-04-08,2022,4,154.69625,7,252.08,245.08,51985.5,0,1574.1666666666667,1574.1666666666667,0,7,0,0.5999230159285069,1,0.2916666666666667,0.05965930041735188,0.6983025397047362,0.6242723189500459,0.6242723189500459,0.6983025397047362,0.7999615079642535,0.5999230159285069,1,TRUE
2022-04-10,2022,4,159.33125,1.03,282.48,281.45000000000005,48054.816666666666,0,1526.5,1526.5,0,13,7,0.6180741564814657,1,0.5416666666666666,0.05329202022279361,0.7555629959259196,0.6799884901241257,0.6799884901241257,0.7555629959259196,0.8090370782407328,0.6180741564814657,1,TRUE
2022-04-11,2022,4,163.1275,55.1,270.2,215.1,56751.208333333336,0,1536.5833333333333,1536.5833333333333,0,9,0,0.6329406650735195,1,0.375,0.05463894487933477,0.7281762660294078,0.6519931272636652,0.6519931272636652,0.7281762660294078,0.8164703325367597,0.6329406650735195,1,TRUE
2022-05-06,2022,5,197.63208333333333,150.05,231.47,81.41999999999999,47209.558333333334,-1.5158245029548803e-13,1600.375,1600.375,0,14,0,0.7680641908134571,0.44573494127145774,0.5833333333333334,0.06316019136348575,0.6021863195006327,0.5478123820327354,0.5478123820327354,0.6021863195006327,0.6068995660424574,0.7680641908134571,0.44573494127145774,TRUE
2022-05-08,2022,5,174.08958333333334,96.62,238.35,141.73,35585.46666666667,0,1533.7083333333333,1533.7083333333333,0,6,0,0.6758693199465681,0.7898610885250389,0.25,0.054254904378089566,0.6362921633886429,0.5684311334028714,0.5684311334028714,0.6362921633886429,0.7328652042358035,0.6758693199465681,0.7898610885250389,TRUE
2022-05-14,2022,5,191.5525,136.59,241.87,105.28,41570.48333333333,0,1569.1666666666667,1569.1666666666667,0,10,0,0.7442559121539623,0.5818790280476217,0.4166666666666667,0.05899140389344717,0.613787309413967,0.5533797027932325,0.5533797027932325,0.613787309413967,0.6630674701007919,0.7442559121539623,0.5818790280476217,FALSE
2022-05-15,2022,5,127.22833333333332,1.03,226.18,225.15,41619.708333333336,-7.579122514774402e-14,1520.625,1520.625,0,4,3,0.49235580641100435,1,0.16666666666666666,0.052507241807205576,0.630275655897735,0.5609085897579054,0.5609085897579054,0.630275655897735,0.7461779032055021,0.49235580641100435,1,TRUE
2022-05-17,2022,5,199.35708333333332,160.99,265.88,104.88999999999999,49107.066666666666,0,1642.0416666666667,1642.0416666666667,0,10,0,0.7748194696600275,0.5796537055898385,0.4166666666666667,0.06872599572935835,0.6251226034332797,0.5642715442437223,0.5642715442437223,0.6251226034332797,0.677236587624933,0.7748194696600275,0.5796537055898385,FALSE
2022-08-21,2022,8,144.64,25.09,205.41,180.32,43173.683333333334,0,1534.75,1534.75,0,1,0,0.560541698304841,1,0.041666666666666664,0.05439404948723639,0.6325500126552698,0.5599623326887513,0.5599623326887513,0.6325500126552698,0.7802708491524205,0.560541698304841,1,TRUE
2022-08-22,2022,8,176.40375,125,250,125,48211.316666666666,0,1530.0833333333333,1530.0833333333333,0,8,0,0.6849318365441168,0.6944004610411654,0.3333333333333333,0.05377067939825865,0.6183995857007796,0.5548100387613413,0.5548100387613413,0.6183995857007796,0.6896661487926411,0.6849318365441168,0.6944004610411654,FALSE
2022-08-24,2022,8,186.95208333333332,140.07,236.79,96.72,54230.183333333334,0,1639.6666666666667,1639.6666666666667,0,12,0,0.7262402035199081,0.5330360530767934,0.5,0.06840874488050361,0.6037105026386806,0.5475875642968959,0.5475875642968959,0.6037105026386806,0.6296381282983508,0.7262402035199081,0.5330360530767934,TRUE
2022-08-29,2022,8,188.42125,132.9,253.07,120.16999999999999,52645.666666666664,0,1634.7916666666667,1634.7916666666667,0,9,0,0.7319936125085572,0.6668406982947751,0.375,0.06775754576969652,0.6345337243213329,0.5713677633581359,0.5713677633581359,0.6345337243213329,0.6994171554016662,0.7319936125085572,0.6668406982947751,FALSE
2022-09-04,2022,9,146.61666666666667,19.9,252.02,232.12,46021.916666666664,0,1512.0833333333333,1512.0833333333333,0,5,0,0.5682825299106696,1,0.20833333333333334,0.051366251912201684,0.6689796786309345,0.5957021773266211,0.5957021773266211,0.6689796786309345,0.7841412649553348,0.5682825299106696,1,TRUE
2022-09-05,2022,9,188.53166666666667,121.19,277,155.81,52221.13333333333,0,1600.7083333333333,1600.7083333333333,0,10,0,0.7324260156231325,0.8702009352060275,0.4166666666666667,0.0632047177984127,0.7243841136649974,0.6505732379033806,0.6505732379033806,0.7243841136649974,0.80131347541458,0.7324260156231325,0.8702009352060275,TRUE
