date,year,month,avg_price_spain_eur_mwh,min_price_spain_eur_mwh,max_price_spain_eur_mwh,daily_price_range,avg_total_matched_volume,avg_buy_sell_volume_gap,avg_total_steps,avg_total_steps_from_sides,avg_quarter_row_share,n_high_price_hours,n_low_price_hours,z_avg_price,z_daily_range,z_high_price_hours,z_steps,score_core,score_extended,score_base,score_no_steps,score_price_range_only,score_price_only,score_range_only,internal_stress_event
2021-10-01,2021,10,216.00833333333333,198.77,230,31.22999999999999,48444.958333333336,0,1435.1666666666667,1435.1666666666667,0,20,0,0.8400274910478277,0.15935305881983722,0.8333333333333334,0.04109177705280088,0.5664188866137327,0.5205590368256295,0.5205590368256295,0.5664188866137327,0.49969027493383245,0.8400274910478277,0.15935305881983722,TRUE
2021-10-05,2021,10,203.68208333333334,165,256.47,91.47000000000003,44815.2,0,1411.9166666666667,1411.9166666666667,0,10,0,0.7917566180724432,0.5030797892220216,0.4166666666666667,0.03798605821664397,0.6012678962511193,0.5403246817080604,0.5403246817080604,0.6012678962511193,0.6474182036472325,0.7917566180724432,0.5030797892220216,TRUE
2021-10-17,2021,10,209.62541666666667,183.84,270,86.16,39816.6,-1.5158245029548803e-13,1400.6666666666667,1400.6666666666667,0,9,0,0.815031327605651,0.47278116806605197,0.375,0.03648329103785836,0.5901249982686811,0.5293827025888819,0.5293827025888819,0.5901249982686811,0.6439062478358515,0.815031327605651,0.47278116806605197,TRUE
2021-10-19,2021,10,207.13916666666665,171.6,256.33,84.72999999999999,48763.75,0,1460.4583333333333,1460.4583333333333,0,11,0,0.8052949148333114,0.464621652387514,0.4583333333333333,0.04447022030288553,0.599633293554997,0.5405844872242441,0.5405844872242441,0.599633293554997,0.6349582836104127,0.8052949148333114,0.464621652387514,TRUE
2021-10-21,2021,10,207.92458333333335,180.59,250,69.41,49319.941666666666,-1.5158245029548803e-13,1511,1511,0,11,0,0.8083706879313273,0.3772064214817793,0.4583333333333333,0.05122154099868901,0.5658975104319094,0.5117408090611228,0.5117408090611228,0.5658975104319094,0.5927885547065532,0.8083706879313273,0.3772064214817793,TRUE
2021-10-22,2021,10,203.54458333333332,173.27,255.5,82.22999999999999,48952.691666666666,3.0316490059097606e-13,1462.4583333333333,1462.4583333333333,0,11,0,0.7912181538165571,0.45035676483762255,0.4583333333333333,0.04473737891244741,0.5882966341283385,0.5306916260868743,0.5306916260868743,0.5882966341283385,0.6207874593270899,0.7912181538165571,0.45035676483762255,TRUE
2021-10-23,2021,10,211.2125,179.21,256.95,77.73999999999998,44015.60833333333,-1.5158245029548803e-13,1475.9583333333333,1475.9583333333333,0,12,0,0.821246510486469,0.4247370267980175,0.5,0.04654069952699014,0.5983934149137946,0.5407483080022693,0.5407483080022693,0.5983934149137946,0.6229917686422433,0.821246510486469,0.4247370267980175,TRUE
2021-10-28,2021,10,205.04500000000002,169,252.33,83.33000000000001,50696.791666666664,0,1502.875,1502.875,0,11,0,0.7970939410451804,0.4566333153595749,0.4583333333333333,0.050136209147343846,0.5931575692285689,0.5354848273230653,0.5354848273230653,0.5931575692285689,0.6268636282023776,0.7970939410451804,0.4566333153595749,TRUE
2021-11-27,2021,11,204.35291666666666,171.77,243.63,71.85999999999999,54442.291666666664,0,1450.9583333333333,1450.9583333333333,0,14,0,0.7943836709572205,0.3911860112806729,0.5833333333333334,0.043201216907466575,0.590894539561824,0.5359361771406761,0.5359361771406761,0.590894539561824,0.5927848411189467,0.7943836709572205,0.3911860112806729,TRUE
2021-12-06,2021,12,212.24125,189.07,273.61,84.54000000000002,51602.86666666667,-1.5158245029548803e-13,1465.375,1465.375,0,10,0,0.8252752021464165,0.4635375209337224,0.4166666666666667,0.0451269852180585,0.598858422565389,0.5389304849331877,0.5389304849331877,0.598858422565389,0.6444063615400695,0.8252752021464165,0.4635375209337224,TRUE
